0x2f2a,uni2E90,KANGXI RADICAL LAME
0x2f33,uni2E93,KANGXI RADICAL SHORT THREAD
0x2fa7,uni2ED1,KANGXI RADICAL LONG
0x2fc1,uni2EE4,KANGXI RADICAL GHOST
0x4e00,uni2F00,CJK UNIFIED IDEOGRAPH-4E00
0x4e28,uni2F01,CJK UNIFIED IDEOGRAPH-4E28
0x4e36,uni2F02,CJK UNIFIED IDEOGRAPH-4E36
0x4e3f,uni2F03,CJK UNIFIED IDEOGRAPH-4E3F
0x4e59,uni2F04,CJK UNIFIED IDEOGRAPH-4E59
0x4e80,uni2EF2,CJK UNIFIED IDEOGRAPH-4E80
0x4e85,uni2F05,CJK UNIFIED IDEOGRAPH-4E85
0x4e8c,uni2F06,CJK UNIFIED IDEOGRAPH-4E8C
0x4ea0,uni2F07,CJK UNIFIED IDEOGRAPH-4EA0
0x4eba,uni2F08,CJK UNIFIED IDEOGRAPH-4EBA
0x513f,uni2F09,CJK UNIFIED IDEOGRAPH-513F
0x5140,uni2E8E,CJK UNIFIED IDEOGRAPH-5140
0x5165,uni2F0A,CJK UNIFIED IDEOGRAPH-5165
0x516b,uni2F0B,CJK UNIFIED IDEOGRAPH-516B
0x5182,uni2F0C,CJK UNIFIED IDEOGRAPH-5182
0x5196,uni2F0D,CJK UNIFIED IDEOGRAPH-5196
0x51ab,uni2F0E,CJK UNIFIED IDEOGRAPH-51AB
0x51e0,uni2F0F,CJK UNIFIED IDEOGRAPH-51E0
0x51f5,uni2F10,CJK UNIFIED IDEOGRAPH-51F5
0x5200,uni2F11,CJK UNIFIED IDEOGRAPH-5200
0x529b,uni2F12,CJK UNIFIED IDEOGRAPH-529B
0x52f9,uni2F13,CJK UNIFIED IDEOGRAPH-52F9
0x5315,uni2F14,CJK UNIFIED IDEOGRAPH-5315
0x531a,uni2F15,CJK UNIFIED IDEOGRAPH-531A
0x5338,uni2F16,CJK UNIFIED IDEOGRAPH-5338
0x5341,uni2F17,CJK UNIFIED IDEOGRAPH-5341
0x535c,uni2F18,CJK UNIFIED IDEOGRAPH-535C
0x5369,uni2F19,CJK UNIFIED IDEOGRAPH-5369
0x5382,uni2F1A,CJK UNIFIED IDEOGRAPH-5382
0x53b6,uni2F1B,CJK UNIFIED IDEOGRAPH-53B6
0x53c8,uni2F1C,CJK UNIFIED IDEOGRAPH-53C8
0x53e3,uni2F1D,CJK UNIFIED IDEOGRAPH-53E3
0x56d7,uni2F1E,CJK UNIFIED IDEOGRAPH-56D7
0x571f,uni2F1F,CJK UNIFIED IDEOGRAPH-571F
0x58eb,uni2F20,CJK UNIFIED IDEOGRAPH-58EB
0x5902,uni2F21,CJK UNIFIED IDEOGRAPH-5902
0x590a,uni2F22,CJK UNIFIED IDEOGRAPH-590A
0x5915,uni2F23,CJK UNIFIED IDEOGRAPH-5915
0x5927,uni2F24,CJK UNIFIED IDEOGRAPH-5927
0x5973,uni2F25,CJK UNIFIED IDEOGRAPH-5973
0x5b50,uni2F26,CJK UNIFIED IDEOGRAPH-5B50
0x5b80,uni2F27,CJK UNIFIED IDEOGRAPH-5B80
0x5bf8,uni2F28,CJK UNIFIED IDEOGRAPH-5BF8
0x5c0f,uni2F29,CJK UNIFIED IDEOGRAPH-5C0F
0x5c22,uni2E90,CJK UNIFIED IDEOGRAPH-5C22
0x5c38,uni2F2B,CJK UNIFIED IDEOGRAPH-5C38
0x5c6e,uni2F2C,CJK UNIFIED IDEOGRAPH-5C6E
0x5c71,uni2F2D,CJK UNIFIED IDEOGRAPH-5C71
0x5ddb,uni2F2E,CJK UNIFIED IDEOGRAPH-5DDB
0x5de5,uni2F2F,CJK UNIFIED IDEOGRAPH-5DE5
0x5df1,uni2F30,CJK UNIFIED IDEOGRAPH-5DF1
0x5df3,uni2E92,CJK UNIFIED IDEOGRAPH-5DF3
0x5dfe,uni2F31,CJK UNIFIED IDEOGRAPH-5DFE
0x5e72,uni2F32,CJK UNIFIED IDEOGRAPH-5E72
0x5e7a,uni2E93,CJK UNIFIED IDEOGRAPH-5E7A
0x5e7f,uni2F34,CJK UNIFIED IDEOGRAPH-5E7F
0x5ef4,uni2F35,CJK UNIFIED IDEOGRAPH-5EF4
0x5efe,uni2F36,CJK UNIFIED IDEOGRAPH-5EFE
0x5f0b,uni2F37,CJK UNIFIED IDEOGRAPH-5F0B
0x5f13,uni2F38,CJK UNIFIED IDEOGRAPH-5F13
0x5f51,uni2E94,CJK UNIFIED IDEOGRAPH-5F51
0x5f61,uni2F3A,CJK UNIFIED IDEOGRAPH-5F61
0x5f73,uni2F3B,CJK UNIFIED IDEOGRAPH-5F73
0x5fc3,uni2F3C,CJK UNIFIED IDEOGRAPH-5FC3
0x6208,uni2F3D,CJK UNIFIED IDEOGRAPH-6208
0x6238,uni2F3E,CJK UNIFIED IDEOGRAPH-6238
0x624b,uni2F3F,CJK UNIFIED IDEOGRAPH-624B
0x652f,uni2F40,CJK UNIFIED IDEOGRAPH-652F
0x6534,uni2F41,CJK UNIFIED IDEOGRAPH-6534
0x6535,uni2E99,CJK UNIFIED IDEOGRAPH-6535
0x6587,uni2F42,CJK UNIFIED IDEOGRAPH-6587
0x6589,uni2EEB,CJK UNIFIED IDEOGRAPH-6589
0x6597,uni2F43,CJK UNIFIED IDEOGRAPH-6597
0x65a4,uni2F44,CJK UNIFIED IDEOGRAPH-65A4
0x65b9,uni2F45,CJK UNIFIED IDEOGRAPH-65B9
0x65e0,uni2F46,CJK UNIFIED IDEOGRAPH-65E0
0x65e1,uni2E9B,CJK UNIFIED IDEOGRAPH-65E1
0x65e5,uni2F47,CJK UNIFIED IDEOGRAPH-65E5
0x66f0,uni2F48,CJK UNIFIED IDEOGRAPH-66F0
0x6708,uni2F49,CJK UNIFIED IDEOGRAPH-6708
0x6728,uni2F4A,CJK UNIFIED IDEOGRAPH-6728
0x6b20,uni2F4B,CJK UNIFIED IDEOGRAPH-6B20
0x6b62,uni2F4C,CJK UNIFIED IDEOGRAPH-6B62
0x6b6f,uni2EED,CJK UNIFIED IDEOGRAPH-6B6F
0x6b79,uni2F4D,CJK UNIFIED IDEOGRAPH-6B79
0x6bb3,uni2F4E,CJK UNIFIED IDEOGRAPH-6BB3
0x6bcb,uni2F4F,CJK UNIFIED IDEOGRAPH-6BCB
0x6bcd,uni2E9F,CJK UNIFIED IDEOGRAPH-6BCD
0x6bd4,uni2F50,CJK UNIFIED IDEOGRAPH-6BD4
0x6bdb,uni2F51,CJK UNIFIED IDEOGRAPH-6BDB
0x6c0f,uni2F52,CJK UNIFIED IDEOGRAPH-6C0F
0x6c11,uni2EA0,CJK UNIFIED IDEOGRAPH-6C11
0x6c14,uni2F53,CJK UNIFIED IDEOGRAPH-6C14
0x6c34,uni2F54,CJK UNIFIED IDEOGRAPH-6C34
0x706b,uni2F55,CJK UNIFIED IDEOGRAPH-706B
0x722a,uni2F56,CJK UNIFIED IDEOGRAPH-722A
0x7236,uni2F57,CJK UNIFIED IDEOGRAPH-7236
0x723b,uni2F58,CJK UNIFIED IDEOGRAPH-723B
0x723f,uni2F59,CJK UNIFIED IDEOGRAPH-723F
0x7247,uni2F5A,CJK UNIFIED IDEOGRAPH-7247
0x7259,uni2F5B,CJK UNIFIED IDEOGRAPH-7259
0x725b,uni2F5C,CJK UNIFIED IDEOGRAPH-725B
0x72ac,uni2F5D,CJK UNIFIED IDEOGRAPH-72AC
